code,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
603977,18.09,5528,22108,94698.53,27426.05,39754.76,9546.63,0.43,0.385,3.96,2.35,20161111
2819,26.45,2834,11334,37448.25,32769.46,4417,4937.33,0.44,0.202,3.67,1.95,20161111
600219,42.73,708796.06,708796.06,3473421.5,1024543.69,1516839.38,1002098.63,1.41,0.16,3.38,1.1,19991223
937,257.12,286918.53,353354.69,4312667,1623705.38,1376247.75,415529,1.18,0.023,5.25,1.5,19990909
601882,24.37,5220,52200,187728.44,105170.11,66778.5,27638.6,0.53,0.098,2.14,1.48,20161107
807,63.45,172183.2,189861.17,3030756.75,868971.88,1602458.38,365033.84,1.92,0.096,3.07,2.64,19980408
2495,183.7,66611.13,93562.56,116917.36,26827,53327.38,5495.26,0.06,0.032,1.19,6.63,20101102
601958,0,322660.44,322660.44,1576010.5,609697.38,261529.7,675335.19,2.09,-0.011,3.93,2.34,20080417
899,21.24,55518.17,97567.77,753113.69,180881.47,368804.59,243347.55,2.49,0.403,4.9,2.33,19971126
601168,128.47,238300,238300,2975151.5,1081593.63,428626.59,526249.19,2.21,0.051,4.78,1.81,20070712
2436,69.17,97324.53,148790.75,405659.19,174686.16,160304.25,99990.78,0.67,0.094,1.55,5.59,20100618
600497,328.62,333512.19,430989.81,3506251.25,484441.75,952377.63,515622.41,1.2,0.04,2.45,2.96,20040420
688,62.13,113721.43,113729.92,189079.67,53957.53,70860.56,18883.17,0.17,0.134,1.46,7.6,19970120
600362,50.74,207524.73,346272.94,8630461,5497494,1813977.63,1168589.5,3.37,0.285,13.54,1.43,20020111
601901,19.83,628985.06,823210.13,14579758,0,44140.48,1642602.88,2,0.324,4.31,1.98,20110810
666,28.92,29351.88,70413,3311133.25,2263038.75,189609.13,190770.98,2.71,0.603,9.19,2.53,19961210
300103,166.16,8438.9,21173.4,100681.1,86295.31,10836.78,31679.55,1.5,0.097,4.01,5.37,20100812
603203,31.69,2300,9200,31503.91,24610.15,3820.6,5890.22,0.64,0.749,3.53,8.96,20161108
2752,68.29,12306.83,63000,238749.34,107555.32,108156.47,24113.24,0.38,0.216,2.38,8.27,20150422
751,74.92,140986.28,140986.92,377255.5,192085.86,86103.96,131577.38,0.93,0.067,1.5,4.46,19970626
601969,0,85867,186667,637093.63,278853.75,86545.56,186857.69,1,-0.072,2.22,6.19,20141209
2816,158.87,2500,10000,48635.26,41085.73,4386.7,5612.68,0.56,0.195,4.37,9.43,20161025
300558,36.13,4100,40100,147507.23,74535.5,0,0,0,0.769,3.33,11.12,20161107
300556,92.14,2780,11113.33,44482.48,37599.78,2426.98,9697.51,0.87,0.105,3.37,3.82,20161104
300456,589.85,7098.79,18518.71,153156.77,58477.36,17361.27,91056.45,4.92,0.1,7.21,10.38,20150514
300552,105.31,2670,10670,81115.38,69147.86,9731.45,9206.57,0.86,0.525,5.65,13.04,20161021
600647,58.86,13914.36,13914.36,58900.13,39672.28,1968.67,68.08,0,0.537,2.59,16.26,19930504
603859,435.68,2839,11356,51872.55,43732.46,3825.81,12962.05,1.14,0.1,5.08,8.94,20161021
2817,103.38,2167,8667,43119.96,17945.15,19053.17,5356.1,0.62,0.501,5.48,12.6,20161025
300559,73.18,1800,7180,32561.6,21873.02,1223.92,2081.01,0.29,0.556,5.2,10.43,20161101
603716,70.08,1274,5094,77416.15,59829.63,13797.23,18963.81,3.72,0.978,13.37,6.84,20161031
300551,356.27,1836,7336,45062.06,38999.87,4841.93,4448.41,0.61,0.28,3.93,25.45,20161018
2695,157.33,45342.1,49995.71,192105.52,121647.38,50068.6,61436.26,1.23,0.164,3.16,10.86,20120905
603667,98.62,5060,20240,141303.77,76346.06,43759.8,21430.35,1.06,0.333,4.71,9.29,20161025
300492,540.82,2080,8320,34624.62,26075.32,5605.26,9621.55,1.16,0.088,3.42,18.47,20151223
603333,0,52000.5,52000.5,169743.61,93335.57,55647.13,65478.76,1.26,-0.059,2.79,3.83,20120507
600280,102.88,114833.47,114833.47,1615438.88,1296323.25,207404.69,1277,0.01,0.07,1.5,6.39,20000926
300560,57.42,1753,7012,38418.71,35326.3,2352.32,5218.06,0.74,0.414,5.6,5.66,20161101
300545,257.53,1783,7130.58,55374.18,51998.12,1448.91,22213.5,3.12,0.42,6.31,17.35,20160928
300526,311.36,2125,8490.74,74429.15,33867.21,8410.71,17009.09,2,0.34,5.64,20.06,20160802
2746,45.06,5635,18184.01,239869.34,140381.42,70917.63,118725.25,6.53,1.12,10.92,5.4,20150216
2141,1650.45,63660.8,113465.64,141117.98,119351.17,17146,90383.31,0.8,0.006,1.15,11.62,20070720
300550,171.08,2000,8000,40646.25,25825.73,456.6,3297.9,0.41,0.59,3.12,32.17,20161018
603160,94.75,4500,44500,213549.59,184013.91,14960.98,3422.9,0.08,1.51,3.76,45.44,20161017
300553,128.63,1200,4800,19416.78,13806.1,612.56,4179.06,0.87,0.494,4.82,17.57,20161021
2818,31.26,4400,44000,412626.25,37845.37,32293.06,11014.32,0.25,0.982,6.86,5.97,20161109
603888,100.17,5190.29,20761.16,189359.63,126243.7,5494.26,23866.25,1.15,0.774,7.51,13.77,20161028
603258,64.22,6000,24000,86315.21,62596.67,1155.14,1465.79,0.06,0.824,3.41,20.69,20161026
603060,33.97,5500,22000,76181.61,28858.69,22803.7,0,0,0.386,2.36,7.41,20161109
300489,164.78,4338.5,9075,61447.8,17694.5,36907.3,18809.15,2.07,0.209,4.9,9.37,20150701
300557,115.01,1400,5566.85,36303.26,32075.15,2528.71,4351.91,0.78,0.28,6.49,6.61,20161101
603556,28.95,9334,37334,292752.94,234531.22,26280.3,35653.23,0.95,0.97,6.81,5.49,20161110
2216,91.55,57072.85,80421.75,344995.03,149516.52,124956.2,24689.99,0.31,0.085,2.41,4.29,20080220
595,0,24760.55,37244.01,123386.72,65371.61,21032.3,80939.9,2.17,-0.148,1.86,8.42,19960419
2346,585.33,7980,44157.53,226300.95,119589.97,42031.98,44081.5,1,0.027,3.72,5.71,20100128
703,32.74,115358.77,161987.44,2929723.5,1340146.25,834107.25,438220.06,2.71,0.39,6.49,2.09,19970328
2201,514.61,23947.13,25574.41,243000,73625.57,124561.2,44454.71,1.74,0.029,3.46,5.83,20071226
758,69.47,196913.45,196937.84,2231225.5,1470272.63,294819.03,92303.6,0.47,0.104,2.48,3.87,19970416
2679,0,13868,13868,161388.22,146697.48,2111.28,34162.59,2.46,-0.045,5.09,10.42,20120605
60,128.41,221145.34,221262.8,1639804.5,544390.81,482405.81,147347.17,0.67,0.074,3.44,3.69,19970123
878,341.98,141639.2,141639.88,2261304.5,1057247.5,711421.88,439830.41,3.11,0.031,3.96,3.62,19980602
630,257.69,956045.19,956064.38,4091179.25,1929518,1510598.88,72429.96,0.08,0.01,1.46,2.34,19961120
982,0,129393.21,180504.31,1263514.13,620393.75,463249.91,202861.23,1.12,-0.179,1.68,4.4,20000706
600595,50.81,151487.38,174154.05,2639337.5,674119.88,1155739.75,281379.34,1.62,0.1,2.83,2.38,20020626
603993,93.99,1295373.13,1688719.88,4478949.5,1722515.25,422571.09,1072030.63,0.63,0.035,1.06,4.1,20121009
300371,115.07,3551.13,12000,57537.46,35914.9,18071.73,18459,1.54,0.247,4.37,8.68,20140123
510,399.19,56343.35,60918.23,140416.44,31405.95,92559.03,4489.06,0.07,0.03,1.26,12.57,19930507
2143,68.39,22486.58,110614.63,332620.69,290917,1952.29,-1656.23,-0.01,0.358,1.74,18.76,20070720
928,24.45,41286.57,64256.21,1378923.5,1312580.75,4943.95,180205.22,2.8,0.574,4.99,3.75,19990312
960,335.33,120942.29,147205.5,2744483,835001,1153891.63,667175.81,4.53,0.038,5.3,3.24,20000221
300506,287.54,7500,30000,78306.06,63093.8,2270.63,2594.49,0.09,0.18,1.8,34.85,20160324
300549,160.88,1667,6667,61923.8,49988.6,9121.66,24063.86,3.61,0.66,6.27,16.93,20160930
600399,59.08,112962.28,130000,1260736.13,705136.88,345773.94,16257.42,0.13,0.102,1.54,5.18,20001229
2051,25.99,92033.89,92776.53,1885744.38,1349085.75,162843.95,182018.63,1.96,0.767,6.99,3.8,20060619
782,0,40319.26,52813.96,230458.91,111478.85,96321.59,63823.15,1.21,-0.066,2.31,4.83,19970619
300345,392.83,28054.52,44129.55,110990.75,69635.13,19694.14,24669.55,0.56,0.027,1.82,7.81,20120801
603,78.29,38714.07,72262.52,281391.06,132881.94,12866.25,135986.17,1.88,0.26,3.4,6.15,19960823
2685,349.09,56000,68944.28,168855.56,141760.72,15328.85,42696.3,0.62,0.023,1.87,5.78,20120612
600528,135.73,145920,145920,5709567.5,5249858,164524.31,159785.48,1.1,0.079,4.24,3.36,20010528
601600,460.15,1095983.25,1490379.88,19107902,6851866.5,7250991,1875607,1.26,0.007,2.53,1.75,20070430
2194,0,43724.3,56466.96,269552.28,202092.48,44100.15,82525.71,1.46,-0.013,3.88,4.86,20071207
626,38.04,40459.5,59863.44,1474902.88,1417237.38,6423.37,153529.59,2.56,0.628,4.75,6.72,19961128
2171,46.6,32497.05,44471.5,278466.13,156804.48,61474.55,88210.38,1.98,0.326,4.05,5,20070921
600428,309.47,169044.64,214665.06,2076836.38,433751.06,1370750.25,428154,1.99,0.015,4.3,1.48,20020418
600936,78,30000,167102.63,707051.38,266729.06,286343.41,110046.57,0.66,0.2,2.19,7.89,20160815
2628,324,68037.4,73741.63,563923.44,403112.41,5608.35,83869.86,1.14,0.022,3.56,2.7,20111103
601233,22.3,96360,123193.63,1831545.63,767976.81,889269.38,551843.38,4.48,0.52,8.49,1.59,20110518
822,67.61,89508.02,89509.2,341969.91,138942.92,157384.77,150483.25,1.68,0.074,2.61,2.57,19980703
300442,1595.55,5717.25,10000,134086.7,82647.05,20340.9,52063.42,5.21,0.024,9.62,5.4,20150424
2160,81.75,43471.23,72437.49,527892.5,248141.66,137328.25,217719.13,3.01,0.1,4.28,2.49,20070821
720,0,86345.89,86346,529253.5,95168.21,351711.78,29602.63,0.34,-0.051,1.04,7.11,19970509
2797,167.84,21900,218900,3428667.5,0,14076.19,391647.56,1.79,0.21,4.04,10.74,20160511
20,1248.08,18116.53,28316.11,60473.16,41527.46,10553.48,14658.72,0.52,0.016,1.12,23.73,19920428
